input,error_bound,compression_ratio,psnr,ssim
CLOUDf01.bin,0.1,5560.19,39.7894,0.756462
CLOUDf01.bin,0.0545559478116852,3601.01,41.1436,0.779854
CLOUDf01.bin,0.029763514416313194,1607.95,46.756,0.814296
CLOUDf01.bin,0.016237767391887217,1224.1,51.6874,0.863047
CLOUDf01.bin,0.008858667904100831,624.372,55.7562,0.888964
CLOUDf01.bin,0.004832930238571752,421.966,58.7902,0.898737
CLOUDf01.bin,0.0026366508987303583,284.928,66.4046,0.937745
CLOUDf01.bin,0.0014384498882876629,201.767,68.7935,0.940325
CLOUDf01.bin,0.0007847599703514615,165.887,73.7957,0.955915
CLOUDf01.bin,0.00042813323987193956,113.02,79.1178,0.969357
CLOUDf01.bin,0.00023357214690901236,86.0171,84.0682,0.978844
CLOUDf01.bin,0.00012742749857031348,66.4355,89.2008,0.985596
CLOUDf01.bin,6.951927961775606e-05,51.9302,94.2939,0.989832
CLOUDf01.bin,3.792690190732254e-05,41.2429,99.3074,0.992738
CLOUDf01.bin,2.06913808111479e-05,33.5852,104.429,0.994922
CLOUDf01.bin,1.1288378916846883e-05,27.3231,109.489,0.996288
CLOUDf01.bin,6.158482110660267e-06,22.7043,114.663,0.997382
CLOUDf01.bin,3.359818286283781e-06,19.0353,119.837,0.998183
CLOUDf01.bin,1.8329807108324375e-06,16.3307,125.071,0.998659
CLOUDf01.bin,1e-06,14.3053,130.28,0.999109
