k,mu,error_bound,log10_e,cr_hat,psnr_hat,ssim_hat,g_psnr,g_ssim,viol_psnr,viol_ssim,feasible
0,1.0,0.00029988143555945325,-3.5230504188141314,95.75842009588571,82.00851081774188,0.9758430203019505,-2.991489182258121,-0.014156979698049521,2.991489182258121,0.014156979698049521,False
1,10.0,0.00021303188645344776,-3.6715553868225737,80.9773848662051,84.7594231191726,0.9798091682755494,-0.2405768808274047,-0.010190831724450566,0.2405768808274047,0.010190831724450566,False
2,100.0,0.00020738612091386835,-3.683220311650989,79.94231141387517,84.97635694602677,0.9800944741537356,-0.023643053973231076,-0.009905525846264362,0.023643053973231076,0.009905525846264362,False
3,1000.0,0.00020684023292334917,-3.6843649818394946,79.84164738141493,84.9976511857168,0.9801222749234831,-0.002348814283195111,-0.009877725076516852,0.002348814283195111,0.009877725076516852,False
4,10000.0,0.00020678582362400124,-3.6844792379809213,79.83160836025066,84.9997767523575,0.9801250479628562,-0.00022324764249503914,-0.009874952037143836,0.00022324764249503914,0.009874952037143836,False
5,100000.0,0.0002067803845219117,-3.6844906614095168,79.83060473831279,84.9999892690176,0.9801253251946329,-1.0730982396012223e-05,-0.009874674805367079,1.0730982396012223e-05,0.009874674805367079,False
6,1000000.0,7.746528246770342e-05,-4.11089289118221,51.44460642549286,93.01553681130886,0.9883461398906257,8.015536811308863,-0.0016538601093742944,0.0,0.0016538601093742944,False
7,10000000.0,6.0658191069417084e-05,-4.217110545233471,46.54407216173878,95.03803219991501,0.9898364903567788,10.038032199915008,-0.00016350964322120465,0.0,0.00016350964322120465,False
8,100000000.0,5.9106137943937204e-05,-4.228367416973781,46.06301722569913,95.25297804623881,0.9899836648453603,10.252978046238809,-1.6335154639723903e-05,0.0,1.6335154639723903e-05,False
9,1000000000.0,5.895215795603211e-05,-4.22950029283787,46.01498829643819,95.27461629889194,0.9899983666398866,10.274616298891942,-1.633360113384441e-06,0.0,1.633360113384441e-06,False
10,10000000000.0,5.8936768527284095e-05,-4.229613679976463,46.01018502357895,95.27678209009179,0.9899998370123028,10.276782090091785,-1.629876972275568e-07,0.0,1.629876972275568e-07,True
11,100000000000.0,5.89352303375553e-05,-4.229625014768743,46.00970490081736,95.27699859495112,0.9899999839877011,10.276998594951124,-1.60122989312228e-08,0.0,1.60122989312228e-08,True
12,1000000000000.0,5.893507731752579e-05,-4.2296261423768025,46.00965713761573,95.2770201332988,0.9899999986090017,10.277020133298805,-1.3909983165305562e-09,0.0,1.3909983165305562e-09,True
